text,tweet2words,num_capitalized,tweet_length,num_negative_words,num_positive_words,num_neutral_words,has_capitalized,num_capitalised_positive_words,num_capitalised_negative_words,num_hashtags,num_special_character,correctedText
. @SouthwestAir to launch new direct flight from @CVGairport to Denver http://www. rcnky.com/articles/2018/ 08/06/southwest-kick-direct-service-cvg-airport-denver …,launch new direct flight Denver http www rcnky com articles southwest kick direct service cvg airport denver,0,19,0,0,15,1,0,0,0,7, launch new direct flight Denver HTTP WWW cranky com articles southwest kick direct service cg airport Denver
Fun popping bubbles on the plane to keep busy. Sorry @SouthwestAir for the occasional screams. But you have to admit she’s pretty cute. Lol pic.twitter.com/A2jiS9UouE,Fun popping bubbles plane keep busy Sorry occasional screams But admit pretty cute Lol pic twitter com A jiS UouE,0,19,1,2,22,1,0,0,0,6, Fun popping bubbles plane keep busy Sorry occasional screams But admit pretty cute Lola pic twitter com A j Is Roue
Looks like quite of few caddies and a few players found the same @SouthwestAir charter to St Louis as me @sampinna,Looks like quite caddies players found charter St Louis,0,11,0,1,20,1,0,0,0,2, Looks like quite caddies players found charter St Louis
@SouthwestAir free tv @USAUltimate women’s finals on @espn Great flight entertainment. pic.twitter.com/QFAXyCEiqS,free tv women finals Great flight entertainment pic twitter com QFAXyCEiqS,0,14,0,2,10,1,0,0,0,6, free TV women finals Great flight entertainment pic twitter com 
"As part of his partnership with @Chase and @SouthwestAir , @bretteldredge recently surprised a fan who survived the Las Vegas shooting. http:// nashvillegab.com/2018/08/brett- eldredge-surprises-route-91-survivor.html …",As part partnership recently surprised fan survived Las Vegas shooting http nashvillegab com brett eldredge surprises route survivor html,0,21,0,0,25,1,0,0,0,9, As part partnership recently surprised fan survived Las Vegas shooting HTTP Nashville com Brett dredger surprises route survivor HTML
33,,0,0,0,0,1,0,0,0,0,0,
"Back in San Juan, #PuertoRico for the @LCLAA Labor Council for Latin American Advancement (LCLAA) Nat’l E-board & 22nd Membership Convention. Thank you @SouthwestAir Airlines for getting me to my destination safely & for supporting such a great organization. A-list member! pic.twitter.com/Nmibo3vDN6",Back San Juan PuertoRico Labor Council Latin American Advancement LCLAA Nat l E board nd Membership Convention Thank Airlines getting destination safely supporting great organization A list member pic twitter com Nmibo vDN,1,34,0,4,38,1,0,0,1,14, Back San Juan Puerto Rico Labor Council Latin American Advancement CLARA Nat l E board ND Membership Convention Thank Airlines getting destination safely supporting great organization A list member pic twitter com Gibbon van
My @southwestair pilot apologized that turbulence precluded service on my flight but promises that if we drop his name - @gary_kelly - on our next flight we'll get a make-good.,My pilot apologized turbulence precluded service flight promises drop name next flight get make good,0,17,0,1,29,1,0,0,0,6, My pilot apologized turbulence precluded service flight promises drop name next flight get make good
Reminder #writers : Application deadline for @NHMC TV Writers Program is August 5th! Paid program with no application fees! Apply before it’s too late! Program supported and sponsored by @disneyabcctdi @NBCUdiversity @SouthwestAir @finaldraftinc #latinx #RepresentationMatters pic.twitter.com/s62ty7UKAs,Reminder writers Application deadline TV Writers Program August th Paid program application fees Apply late Program supported sponsored latinx RepresentationMatters pic twitter com ty UKAs,1,30,0,1,35,1,0,0,3,14, Reminder writers Application deadline TV Writers Program August ht Paid program application fees Apply late Program supported sponsored Latina Representation Matters pic twitter com Ty UK's
What a week! 6 Top-30 finished @AAUTrackNField JOs for Tampa Matrix. Thank you @SouthwestAir @HiltonHonors @Hertz @FlyTPA @FLSENTINELB & supporters for making this a memorable experience for our youths. See you next year in NC. @americanjazzkc @nlbmprez @skyzone @Drake_TFXC pic.twitter.com/z4uH61vVgz,What week Top finished JOs Tampa Matrix Thank supporters making memorable experience youths See next year NC pic twitter com z uH vVgz,1,33,0,2,38,1,0,0,0,17, What week Top finished Os Tampa Matrix Thank supporters making memorable experience youths See next year NC pic twitter com z uh VG
Currently on a @SouthwestAir flight home when one of the flight attendants announced it was another flight attendants birthday. The entire plane sang to him. I love kind people.,Currently flight home one flight attendants announced another flight attendants birthday The entire plane sang I love kind people,0,18,0,1,28,1,0,0,0,4, Currently flight home one flight attendants announced another flight attendants birthday The entire plane sang I love kind people
@SouthwestAir here are our boys!! Southwest Airlines needs to be the official carrier of the back to back Southwest Champions!! https:// twitter.com/lufkinbaseball 1/status/1026499239797501953 …,boys Southwest Airlines needs official carrier back back Southwest Champions https twitter com lufkinbaseball status,0,16,0,0,24,1,0,0,0,7, boys Southwest Airlines needs official carrier back back Southwest Champions HTTP twitter com baseball status
Getting the run around from @SouthwestAir for nearly 3 Days now trying to rectify their mistake with my luggage #NotAHappyCustomer currently on a 50 minute hold for customer relations,Getting run around nearly Days trying rectify mistake luggage NotAHappyCustomer currently minute hold customer relations,0,16,1,1,27,1,0,0,1,2, Getting run around nearly Days trying rectify mistake luggage Customer currently minute hold customer relations
"There's no doubt our Flight Attendants are some of the best in the business, Gee! We appreciate you taking the time to share your experience and we'll be sure to share your praise with Jeanna! -Jennifer",There doubt Flight Attendants best business Gee We appreciate taking time share experience sure share praise Jeanna Jennifer,0,16,1,3,32,1,0,0,0,6, There doubt Flight Attendants best business Gee We appreciate taking time share experience sure share praise Jenna Jennifer
"I have a theory though. 15 years of the TSA and airport travel law being akin to how you treat prisoners and not free citizens, creates a culture of guards and prisoners"" not ""business and customers"". That explains why they can break people and property and not feel shame.""",I theory though years TSA airport travel law akin treat prisoners free citizens creates culture guards prisoners business customers That explains break people property feel shame,1,24,1,1,47,1,0,0,0,6, I theory though years TS airport travel law akin treat prisoners free citizens creates culture guards prisoners business customers That explains break people property feel shame
8,,0,0,0,0,1,0,0,0,0,0,
"Early morning shark"" sighting at MHT! #flyMHT #flymanchesterNH #southwest #discoverychannel #sharkweek @SouthwestAir @Discovery pic.twitter.com/iD0ON3bLTj""",Early morning shark sighting MHT flyMHT flymanchesterNH southwest discoverychannel sharkweek pic twitter com iD ON bLTj,2,17,0,0,14,1,0,0,5,10, Early morning shark sighting MT flyweight Manchester southwest discovery channel shark week pic twitter com id ON BLT
. @SouthwestAir Captain Paul on the intercom “Thanks for helping me feed my kids and welcome aboard”. Haha. (Appreciated that he introduced himself to the passengers by doing his greeting on the front attendants intercom before leaving the gate. ),Captain Paul intercom Thanks helping feed kids welcome aboard Haha Appreciated introduced passengers greeting front attendants intercom leaving gate,0,20,0,2,38,1,0,0,0,8, Captain Paul intercom Thanks helping feed kids welcome aboard Aha Appreciated introduced passengers greeting front attendants intercom leaving gate
Reason #842 to fly @SouthwestAir They would have said Well it looks like I'm going to have to sever my right arm to get you on that flight,Reason fly They would said Well looks like I going sever right arm get flight,0,14,1,3,24,1,0,0,1,3, Reason fly They would said Well looks like I going sever right arm get flight
Huge props to @SouthwestAir 's Team MSP for participating in the Family Walk at this year's #RBCRacefortheKids ! We appreciate your support. https:// twitter.com/Brooke_Ashley8 6/status/1025795090734821377 …,Huge props Team MSP participating Family Walk year RBCRacefortheKids We appreciate support https twitter com Brooke Ashley status,1,18,0,1,25,1,0,0,1,10, Huge props Team MAP participating Family Walk year Thenceforth We appreciate support HTTP twitter com Brooke Ashley status
"Great idea! BUT: Frequent flyer miles can be incredibly expensive to donate (almost as expensive as the tickets themselves). Would @AmericanAir , @united , @SouthwestAir , @JetBlue , @Delta , & @VirginAmerica agree to waive fees for donating miles for immigrant reunification efforts? https:// twitter.com/bethwilensky/s tatus/1026478893400842242 …",Great idea BUT Frequent flyer miles incredibly expensive donate almost expensive tickets Would agree waive fees donating miles immigrant reunification efforts https twitter com bethwilensky tatus,1,31,2,2,43,1,0,0,0,21, Great idea BUT Frequent flier miles incredibly expensive donate almost expensive tickets Would agree waive fees donating miles immigrant reunification efforts HTTP twitter com lengthwise tats
"To the entire staff of @SouthwestAir THANK YOU. You accommodated our giant service dog, changed our tickets, and made a bereavement flight not just bearable but friendly. Your flight and gate attendants are the best and Bucky wants to be a pilot if he ever grows thumbs. pic.twitter.com/bzMefH92s1",To entire staff THANK YOU You accommodated giant service dog changed tickets made bereavement flight bearable friendly Your flight gate attendants best Bucky wants pilot ever grows thumbs pic twitter com bzMefH,2,29,1,2,45,1,0,0,0,7, To entire staff THANK YOU You accommodated giant service dog changed tickets made bereavement flight bearable friendly Your flight gate attendants best Buck wants pilot ever grows thumbs pic twitter com 
I love hammy flight attendants who fake being mad that I almost threw away my In touch magazine and he keeps it for himself then sings an arrival song as we land and to top it off cheers Go,I love hammy flight attendants fake mad I almost threw away In touch magazine keeps sings arrival song land top cheers Go,0,19,2,2,35,1,0,0,0,0, I love hammy flight attendants fake mad I almost threw away In touch magazine keeps sings arrival song land top cheers Go
14,,0,0,0,0,1,0,0,0,0,0,
Thanks to @SouthwestAir for a great first flight for our Harper! #firstflight #traveler #toddlerlife pic.twitter.com/R8iA6m73Ep,Thanks great first flight Harper firstflight traveler toddlerlife pic twitter com R iA Ep,0,15,0,1,14,1,0,0,3,6, Thanks great first flight Harper first flight traveler toddler life pic twitter com R IA E
Pretty excited to knock 2 more #SWA state planes off of my chase list. Great weather today at @DallasLoveField @SouthwestAir @BoeingAirplanes #avgeek #avgeeks #B737 #Texas . Can I please get a RT? pic.twitter.com/kl3fihwx7t,Pretty excited knock SWA state planes chase list Great weather today avgeek avgeeks B Texas Can I please get RT pic twitter com kl fihwx,2,26,1,3,29,1,0,0,5,12, Pretty excited knock SAW state planes chase list Great weather today av geek av geeks B Texas Can I please get RT pic twitter com kl fishwife
Getting ready for tomorrow with my mind set on manuevering my work for our users like the @SouthwestAir pilots did for @photographerjon . #OneTeam #protectingusers #usersrock #healthfulconversations #keepingtheplatformsafe,Getting ready tomorrow mind set manuevering work users like pilots OneTeam protectingusers usersrock healthfulconversations keepingtheplatformsafe,0,17,0,3,25,1,0,0,5,8, Getting ready tomorrow mind set maneuvering work users like pilots One Team protecting users users rock healthful conversations 
"It was also @united that dragged that man off the plain because THEY overbooked the flight! I sure hope they had to pay him a lot of money! I agree @SouthwestAir is terrific! Also, no charge to change your tickets for a different flight!!",It also dragged man plain THEY overbooked flight I sure hope pay lot money I agree terrific Also charge change tickets different flight,1,21,1,0,43,1,0,0,0,7, It also dragged man plain THEY overbooked flight I sure hope pay lot money I agree terrific Also charge change tickets different flight
"Here is your @Rangers starting lineup, presented by @SouthwestAir . #TexasRangers pic.twitter.com/TItwrUURhg",Here starting lineup presented TexasRangers pic twitter com TItwrUURhg,0,10,0,0,12,1,0,0,1,6, Here starting lineup presented Texas Rangers pic twitter com 
I’m coming home until next time Texas @SouthwestAir pic.twitter.com/BjXmZ8ExCg,I coming home next time Texas pic twitter com BjXmZ ExCg,0,11,0,0,9,1,0,0,0,3, I coming home next time Texas pic twitter com  Ex Cg
hi everyone. this is what it is like to travel with bags. we have all our documentation and arrive hours early to get to where we are going. and this is often what happens. i purposely didn’t film her face because this isn’t personal. but i hope @SouthwestAir speaks up https:// twitter.com/morgxn/status/ 1026040488892264449 …,hi everyone like travel bags documentation arrive hours early get going often happens purposely film face personal hope speaks https twitter com morgxn status,0,25,0,1,53,0,0,0,0,11, hi everyone like travel bags documentation arrive hours early get going often happens purposely film face personal hope speaks HTTP twitter com Morgan status
. @SouthwestAir i get that it’s 4am. i get that we are a band that travels with 12+ bags. but we come prepared with all of our documents and a good attitude. and your gate agents always seem to be pissed at us and cause delays while THROWING our bags with complete disresepct.,get get band travels bags come prepared documents good attitude gate agents always seem pissed us cause delays THROWING bags complete disresepct,1,23,1,1,51,1,0,0,0,8, get get band travels bags come prepared documents good attitude gate agents always seem pissed us cause delays THROWING bags complete disrespect
11,,0,0,0,0,1,0,0,0,0,0,
7,,0,0,0,0,1,0,0,0,0,0,
Wow. Thank you @SouthwestAir for inviting me into the cockpit and introducing me to everyone! pic.twitter.com/4jJmYIBKqZ,Wow Thank inviting cockpit introducing everyone pic twitter com jJmYIBKqZ,0,11,0,1,15,1,0,0,0,4, Wow Thank inviting cockpit introducing everyone pic twitter com 
Take a look at the @Rangers lineup presented by the good folks at @SouthwestAir . #SouthwestAIrlines | #TexasRangers pic.twitter.com/pqBR972u18,Take look lineup presented good folks SouthwestAIrlines TexasRangers pic twitter com pqBR u,0,15,0,1,18,1,0,0,2,7, Take look lineup presented good folks Southwest Airlines Texas Rangers pic twitter com Braque u
Hey @SouthwestAir ? I have never had a problem with you before but delaying my flight (STL -> MKE) with no explanation 3 times today is not acceptable and very disappointing. I was supposed to arrive at 4pm and now I’m arriving after 10pm. Get it together!,Hey I never problem delaying flight STL MKE explanation times today acceptable disappointing I supposed arrive pm I arriving pm Get together,2,20,2,0,45,1,0,0,0,9, Hey I never problem delaying flight ST ME explanation times today acceptable disappointing I supposed arrive pm I arriving pm Get together
"So...I forgot to check into my 6:50 AM flight on @SouthwestAir from Omaha to Phoenix in the morning. As a result, I am C4 for seat assignment. So if you are on this flight in the morning, I’ll meet you in the middle. #newfriends",So I forgot check AM flight Omaha Phoenix morning As result I C seat assignment So flight morning I meet middle newfriends,1,16,0,0,44,1,0,0,1,10, So I forgot check AM flight Omaha Phoenix morning As result I C seat assignment So flight morning I meet middle new friends
Wow I really love @SouthwestAir . They hooked me up with a whole new suitcase!!,Wow I really love They hooked whole new suitcase,0,8,0,2,13,1,0,0,0,3, Wow I really love They hooked whole new suitcase
Gotta love @SouthwestAir pic.twitter.com/z9PhY8IPaU,Gotta love pic twitter com z PhY IPaU,0,9,0,1,3,1,0,0,0,2, Gotta love pic twitter com z PhD IPad
"Sometimes when you #nonrev travel your plans get foiled by flights filling up. That happened to my wife today on my airline, flights got full so thankfully @SouthwestAir has seats open. Thanks SWA for hopefully getting my family home. ZED fare to the rescue! pic.twitter.com/bd2y9aHmcP",Sometimes nonrev travel plans get foiled flights filling That happened wife today airline flights got full thankfully seats open Thanks SWA hopefully getting family home ZED fare rescue pic twitter com bd aHmcP,2,33,0,0,45,1,0,0,1,8, Sometimes non rev travel plans get foiled flights filling That happened wife today airline flights got full thankfully seats open Thanks SAW hopefully getting family home ZED fare rescue pic twitter com db Ahmad
We never get tired of the landing view at @fly2midway @SouthwestAir pic.twitter.com/uMOh5GZf1V,We never get tired landing view pic twitter com uMOh GZf V,0,14,1,0,11,1,0,0,0,3, We never get tired landing view pic twitter com um Oh GIF V
Have you booked your flight to @DENAirport on @SouthwestAir yet? We're only days until the inaugural flight! #CVGnext #Denver #Southwest pic.twitter.com/PvWdOw8dOu,Have booked flight yet We days inaugural flight CVGnext Denver Southwest pic twitter com PvWdOw dOu,0,16,0,0,21,1,0,0,3,9, Have booked flight yet We days inaugural flight Cygnet Denver Southwest pic twitter com Lowdown duo
Arabella’s first flight! And somehow the ONE empty seat on the entire plane was in our row... I wonder if it had anything to do with me changing diapers on it during boarding? @SouthwestAir #ArabellaB #BabyBrooks #firstflight #MDW #FLL #Southwest #bestairline pic.twitter.com/l45Yz6hA3S,Arabella first flight And somehow ONE empty seat entire plane row I wonder anything changing diapers boarding ArabellaB BabyBrooks firstflight MDW FLL Southwest bestairline pic twitter com l Yz hA S,3,29,0,1,41,1,0,0,7,13, Cerebellar first flight And somehow ONE empty seat entire plane row I wonder anything changing diapers boarding Rabelais Baby Brooks first flight MEW FL Southwest best airline pic twitter com l Y ha S
5 a.m. airport drop off = good karma. @flyLAXairport @SouthwestAir pic.twitter.com/twj0gUE3E9 – at Los Angeles international Airport Terminal 5,airport drop good karma pic twitter com twj gUE E Los Angeles international Airport Terminal,0,17,0,1,18,1,0,0,0,7, airport drop good karma pic twitter com two hue E Los Angeles international Airport Terminal
Today’s bird for our family #CostaRica vacation @SouthwestAir #PuraVida #BWI #LIR pic.twitter.com/MgVKdUHr9Z – at BWI Southwest Airlines,Today bird family CostaRica vacation PuraVida BWI LIR pic twitter com MgVKdUHr Z BWI Southwest Airlines,3,17,0,0,17,1,0,0,4,8, Today bird family Costarring vacation Dravidian BI LEER pic twitter com  Z BI Southwest Airlines
Many thanks to gate agents @SouthwestAir in Seattle for thinking ahead and rebooking me today for earlier arrival home. Such a treat after 9 days away.,Many thanks gate agents Seattle thinking ahead rebooking today earlier arrival home Such treat days away,0,16,0,0,26,1,0,0,0,3, Many thanks gate agents Seattle thinking ahead rebuking today earlier arrival home Such treat days away
"My sympathies. @SouthwestAir did the same to me and so many others. An absolute disaster. And yes, I'd never seen anything like it after a lifetime of flying.",My sympathies many others An absolute disaster And yes I never seen anything like lifetime flying,0,13,0,1,27,1,0,0,0,7, My sympathies many others An absolute disaster And yes I never seen anything like lifetime flying
"Ugh. @SouthwestAir has been super helpful for our family for years now...Navy son, has lived so many inconvenient places, we have to fly all over to see him and plans change all the time. They always help us make it work. Sorry this happened to you, what a bummer.",Ugh super helpful family years Navy son lived many inconvenient places fly see plans change time They always help us make work Sorry happened bummer,0,25,1,2,46,1,0,0,0,9, Ugh super helpful family years Navy son lived many inconvenient places fly see plans change time They always help us make work Sorry happened bummer
apparently @SouthwestAir saw this tweet because they were kind enough to cancel my flight lmao,apparently saw tweet kind enough cancel flight lmao,0,9,0,1,14,0,0,0,0,1, apparently saw tweet kind enough cancel flight loam
Midway. The RC Cola of airports.,Midway The RC Cola airports,1,4,0,0,6,1,0,0,0,2, Midway The RC Cola airports
"Spending another wonderful day at MDW airport, thanks to the kindness of @SouthwestAir , who didn’t want me to miss out by flying me anywhere else.",Spending another wonderful day MDW airport thanks kindness want miss flying anywhere else,1,14,1,2,23,1,0,0,0,5, Spending another wonderful day MEW airport thanks kindness want miss flying anywhere else
"Another shot of the haboob last night as it swallowed downtown Tempe, with a @SouthwestAir flight doing its best to land quickly! Time-lapse from here looks pretty awesome, couple of nice ones yesterday! #azwx #stormhour pic.twitter.com/Rtrtk7iBRv",Another shot haboob last night swallowed downtown Tempe flight best land quickly Time lapse looks pretty awesome couple nice ones yesterday azwx stormhour pic twitter com Rtrtk iBRv,0,29,0,3,33,1,0,0,2,9, Another shot ha boob last night swallowed downtown Tempe flight best land quickly Time lapse looks pretty awesome couple nice ones yesterday AZ storm hour pic twitter com Sartre briber
There is no rebooking to accept. Or refund. Or explanation. And those are basic things they should offer. That is my point and I'm not alone in making it; Southwest is having serious problems today with mass cancelations unrelated to weather.,There rebooking accept Or refund Or explanation And basic things offer That point I alone making Southwest serious problems today mass cancelations unrelated weather,0,18,1,0,40,1,0,0,0,7, There rebuking accept Or refund Or explanation And basic things offer That point I alone making Southwest serious problems today mass cancellations unrelated weather
"Thanks, and sorry to hear you went through the same thing!",Thanks sorry hear went thing,0,5,1,0,10,1,0,0,0,2, Thanks sorry hear went thing
Can you tell us why @SouthwestAir canceled their flights to BWI since conditions are indeed normal? I saw others asked you this yesterday and it seems the problem has continued after Southwest's emergency landing. Southwest won't tell us what's actually happening. Thank you!,Can tell us canceled flights BWI since conditions indeed normal I saw others asked yesterday seems problem continued Southwest emergency landing Southwest tell us actually happening Thank,1,26,2,1,40,1,0,0,0,8, Can tell us canceled flights BI since conditions indeed normal I saw others asked yesterday seems problem continued Southwest emergency landing Southwest tell us actually happening Thank
"Sorry you had travel trouble too! Here was the scene from PHX at 1am. Hundreds in line for 2 hours. No hotel accommodations or even breakfast/drink vouchers. Flyover Country was a great read, and thanks for all your hard work. Safe travels! pic.twitter.com/YkNmoPaRmM",Sorry travel trouble Here scene PHX Hundreds line hours No hotel accommodations even breakfast drink vouchers Flyover Country great read thanks hard work Safe travels pic twitter com YkNmoPaRmM,1,27,3,2,38,1,0,0,0,9, Sorry travel trouble Here scene PHI Hundreds line hours No hotel accommodations even breakfast drink vouchers Flyover Country great read thanks hard work Safe travels pic twitter com 
Running out of airlines to fly.,Running airlines fly,0,3,0,0,6,1,0,0,0,1, Running airlines fly
I would argue that a “high speed landing” isn’t worthy of a “nearly crashed” description. It can be intense as it’s outside normal procedures and unnerving. Happened to me in LAS once. I hope you get what you feel you deserve. SWA is great and looks like they dropped it this time,I would argue high speed landing worthy nearly crashed description It intense outside normal procedures unnerving Happened LAS I hope get feel deserve SWA great looks like dropped time,2,26,1,3,48,1,0,0,0,10, I would argue high speed landing worthy nearly crashed description It intense outside normal procedures unnerving Happened LAS I hope get feel deserve SAW great looks like dropped time
This: https:// baltimore.cbslocal.com/2018/08/01/sou thwest-emergency-landing-bwi/ …,This https baltimore cbslocal com sou thwest emergency landing bwi,0,9,0,0,5,1,0,0,0,5, This HTTP Baltimore Caloocan com sou Southwest emergency landing bi
"My kids have never been on a plane. They were *so* excited. They were going to see family members they'd never met, one of whom is very old. I'm trying to get them there on another airline. It's awful",My kids never plane They excited They going see family members never met one old I trying get another airline It awful,0,17,1,0,38,1,0,0,0,9, My kids never plane They excited They going see family members never met one old I trying get another airline It awful
Ronald Reagan's deregulation of the airline industry has proven the strength of pure capitalism to improve an industry. (Sarcasm emoji),Ronald Reagan deregulation airline industry proven strength pure capitalism improve industry Sarcasm emoji,0,13,0,3,17,1,0,0,0,4, Ronald Reagan deregulation airline industry proven strength pure capitalism improve industry Sarcasm emoji
"I have never had anything like this happen to me until this year, and I fly constantly (and I'm old so this is a lot of flights!) It also happened with Jet Blue three months ago.",I never anything like happen year I fly constantly I old lot flights It also happened Jet Blue three months ago,0,17,0,1,35,1,0,0,0,5, I never anything like happen year I fly constantly I old lot flights It also happened Jet Blue three months ago
"I'm sorry! This seems to be a new norm. Happened to me & my child in June w/Frontier. Just cx'ed w/no attempt to rebook. However, we did get refund & vouchers. While that helped, they did ruin the vacation we planned months before - never got there.",I sorry This seems new norm Happened child June w Frontier Just cx ed w attempt rebook However get refund vouchers While helped ruin vacation planned months never got,0,25,1,1,45,1,0,0,0,14, I sorry This seems new norm Happened child June w Frontier Just xx ed w attempt reboot However get refund vouchers While helped ruin vacation planned months never got
"Sadly, you could substitute any other carrier for @SouthwestAir and you would still be right. Been there too many times. Advice: do not write an 8-page letter detailing multiple, avoidable failings to their CEO (as I did to @britishairways ) and expect a response.",Sadly could substitute carrier would still right Been many times Advice write page letter detailing multiple avoidable failings CEO I expect response,1,22,0,0,44,1,0,0,0,11, Sadly could substitute carrier would still right Been many times Advice write page letter detailing multiple avoidable failings CEO I expect response
"Horrible @SouthwestAir (which nearly crashed yesterday in Baltimore) canceled my flight without giving a reason, reschedule or refund, leaving me and my children stranded. They won't tell any customers what's happening. It's unsettling to see how out of control they are.",Horrible nearly crashed yesterday Baltimore canceled flight without giving reason reschedule refund leaving children stranded They tell customers happening It unsettling see control,0,22,3,0,38,1,0,0,0,11, Horrible nearly crashed yesterday Baltimore canceled flight without giving reason reschedule refund leaving children stranded They tell customers happening It unsettling see control
Hang on. That’s literally a table. Would you wanna lay on that? And how the hell is anyone gonna lift an adult onto it? Have you got a hoist too? Otherwise it’s a half job which isn’t really useful to many at all. The U.K. does it properly. Time USA caught up. @bucksamandy pic.twitter.com/CSHr6JYt8N,Hang That literally table Would wanna lay And hell anyone gonna lift adult onto Have got hoist Otherwise half job really useful many The U K properly Time USA caught pic twitter com CSHr JYt N,1,33,2,1,51,1,0,0,0,14, Hang That literally table Would wanna lay And hell anyone gonna lift adult onto Have got hoist Otherwise half job really useful many The U K properly Time USA caught pic twitter com Cs Hr Jet N
Want to give a shoutout to the pilots on @SouthwestAir ’s flight 2028 for landing us safely in TPA tonight despite many storms around us. #PilotWins #GratefulForThem #Mastery,Want give shoutout pilots flight landing us safely TPA tonight despite many storms around us PilotWins GratefulForThem Mastery,1,19,0,1,27,1,0,0,3,6, Want give shutout pilots flight landing us safely TAP tonight despite many storms around us Pilot Wins Gratefulness Mastery
Lol! @SouthwestAir coming through with the #Haboob Humor! #FOX10Phoenix #azwx https:// twitter.com/SouthwestAir/s tatus/1025198351673745408 …,Lol coming Haboob Humor FOX Phoenix azwx https twitter com SouthwestAir tatus,1,13,0,0,14,1,0,0,3,10, Lola coming Ha boob Humor FOX Phoenix AZ HTTP twitter com Southwest Air tats
Good response! But I haven’t gotten one from the dm,Good response But I gotten one dm,0,5,0,1,9,1,0,0,0,2, Good response But I gotten one d
