text,Unnamed: 14,Unnamed: 15,Unnamed: 16,tweet2words,num_capitalized,tweet_length,num_negative_words,num_positive_words,num_neutral_words,has_capitalized,num_capitalised_positive_words,num_capitalised_negative_words,num_hashtags,num_special_character,correctedText
"Squeakiest wheel always gets the grease it seems. But your tactics to get this Butt-Smooching Service lack class and you step on people. But, that’s why you’re Mr.July for The All-Twitter Airline Complaint Team , leading candidate for 2018...awesome ain’t it? #ATACT #WatchListed",,,,Squeakiest wheel always gets grease seems But tactics get Butt Smooching Service lack class step people But Mr July The All Twitter Airline Complaint Team leading candidate awesome ATACT WatchListed,1,26,2,1,40,1,0,0,2,14, Squeakiest wheel always gets grease seems But tactics get Butt Smooching Service lack class step people But Mr July The All Twitter Airline Complaint Team leading candidate awesome TACT Watch Listed
And my #ba234 flight back is now delayed by 23h. I doubt you can even closely imagine my frustration! Total lack of passenger information and chaos at check-in counters - with such service you won’t last too long @British_Airways,,,,And ba flight back delayed h I doubt even closely imagine frustration Total lack passenger information chaos check counters service last long,0,22,4,0,35,1,0,0,1,7, And BA flight back delayed h I doubt even closely imagine frustration Total lack passenger information chaos check counters service last long
Had my uniform fitting for my new job as Cabin Crew for @British_Airways and now I cannot wait to start flying around the world pic.twitter.com/fpQSJF8tKt,,,,Had uniform fitting new job Cabin Crew I cannot wait start flying around world pic twitter com fpQSJF tKt,0,19,0,0,25,1,0,0,0,2, Had uniform fitting new job Cabin Crew I cannot wait start flying around world pic twitter com  t Kt
". @British_Airways completely unable to get through to anyone in customer relations via phone, need to speak about a claim for compensation that has been mishandled by one of your members of staff.",,,,completely unable get anyone customer relations via phone need speak claim compensation mishandled one members staff,0,18,1,0,32,0,0,0,0,4, completely unable get anyone customer relations via phone need speak claim compensation mishandled one members staff
"Credit where it's due @British_Airways @HeathrowAirport @NATS , arriving from LUX today we had our hold cancelled, given 27L for a short taxi to T3, arrived 25 minutes early, transfer T3 to T5 was seamless & took just 10 minutes. Even UK Border at T5 had no queue, out in a minute!",,,,Credit due arriving LUX today hold cancelled given L short taxi T arrived minutes early transfer T T seamless took minutes Even UK Border T queue minute,2,27,0,1,51,1,0,0,0,12, Credit due arriving LUX today hold canceled given L short taxi T arrived minutes early transfer T T seamless took minutes Even UK Border T queue minute
"One full week later, and nothing from @British_Airways about my missing bag. Ridiculous. A small flight from London to Berlin, and my bag is nowhere to be found, even though it says it was loaded onto the plane. WTH.",,,,One full week later nothing missing bag Ridiculous A small flight London Berlin bag nowhere found even though says loaded onto plane WTH,1,24,0,0,39,1,0,0,0,8, One full week later nothing missing bag Ridiculous A small flight London Berlin bag nowhere found even though says loaded onto plane WT
The deadly combination of @British_Airways and @EDI_Airport demonstrating yet again this morning how unfit they are to have a privileged position on domestic routes. #chaos,,,,The deadly combination demonstrating yet morning unfit privileged position domestic routes chaos,0,15,2,1,22,1,0,0,1,4, The deadly combination demonstrating yet morning unfit privileged position domestic routes chaos
". @accuweather says #CapeTown #weather will be mostly rainy this week, yet 16deg C expected Thurs+Fri! #travel #hotels #southafrica (pic @jamescapetown ) pic.twitter.com/CraDlQW50E",,,,says CapeTown weather mostly rainy week yet deg C expected Thurs Fri travel hotels southafrica pic pic twitter com CraDlQW E,0,23,0,0,23,1,0,0,5,13, says Cape Town weather mostly rainy week yet deg C expected Thurs Fri travel hotels Southampton pic pic twitter com Cradle E
I would like to thank Trent England at #hamptonpensacolabeach for making our stay so much better than originally anticipated. Stepping up to make our stay as good as it could be when @British_Airways holidays messed up our reservation. @HiltonHotels showed great customer service pic.twitter.com/xeK5OUOcF7,,,,I would like thank Trent England hamptonpensacolabeach making stay much better originally anticipated Stepping make stay good could holidays messed reservation showed great customer service pic twitter com xeK OUOcF,0,32,1,5,38,1,0,0,1,6, I would like thank Trent England Pensacola making stay much better originally anticipated Stepping make stay good could holidays messed reservation showed great customer service pic twitter com eek Ouch
I think it is very cool that @British_Airways offers a course to help nervous fliers get used to flying: https:// flyingwithconfidence.com/courses,,,,I think cool offers course help nervous fliers get used flying https flyingwithconfidence com courses,0,16,1,1,19,1,0,0,0,4, I think cool offers course help nervous fliers get used flying HTTP confidentiality com courses
"@British_Airways preparing for departures today. It’s been a busy, tough day but teams worked hard though the heat. pic.twitter.com/Yd3PEVWw7o",,,,preparing departures today It busy tough day teams worked hard though heat pic twitter com Yd PEVWw,0,18,1,2,16,1,0,0,0,6, preparing departures today It busy tough day teams worked hard though heat pic twitter com Yd Peeve
"Thanks again @British_Airways for the complimentary Champagne and extra leg room, on our return honeymoon flight from LA to LHR on Saturday just gone. Can you help with the Jet Lag? ha ha pic.twitter.com/rrTCj4aeCM",,,,Thanks complimentary Champagne extra leg room return honeymoon flight LA LHR Saturday gone Can help Jet Lag ha ha pic twitter com rrTCj aeCM,2,25,0,1,33,1,0,0,0,5, Thanks complimentary Champagne extra leg room return honeymoon flight LA HR Saturday gone Can help Jet Lag ha ha pic twitter com  acme
PR claptrap..... @British_Airways still will not stand up to forced removals of LGBTQ+ individuals refuse to take the same stance as @VirginAtlantic who have. https:// twitter.com/BA_i360/status /1025723253711626241 …,,,,PR claptrap still stand forced removals LGBTQ individuals refuse take stance https twitter com BA status,3,19,1,0,27,1,0,0,0,9, PR claptrap still stand forced removals LGBT individuals refuse take stance HTTP twitter com BA status
Hilarious haptic nonsense in the @British_Airways magazine pic.twitter.com/qmmp7wqhAP,,,,Hilarious haptic nonsense magazine pic twitter com qmmp wqhAP,0,11,1,1,6,1,0,0,0,2, Hilarious hap tic nonsense magazine pic twitter com QM hap
10h30m for ‘Bruce’ G-XLEE #A380 from @HeathrowAirport to @flyLAXairport as BA283. Hoping for some good views too! @British_Airways @Airbus @AirbusintheUK @AirbusInTheUS pic.twitter.com/VhQvOc028A,,,,h Bruce G XLEE A BA Hoping good views pic twitter com VhQvOc A,2,19,0,1,21,1,0,0,1,12, h Bruce G LEE A BA Hoping good views pic twitter com Havoc A
Good to be marching with @lgsmigrants @BrightonPride letting onlookers know that sponsor @British_Airways is complicit in the forcible deportation of #refugees #NoPrideInDeportations #RefugeesWelcome #LGBTQI @BrightonSanct @rainbowpilgrims pic.twitter.com/H5KPu9m8f8,,,,Good marching letting onlookers know sponsor complicit forcible deportation refugees NoPrideInDeportations RefugeesWelcome LGBTQI pic twitter com H KPu f,1,25,1,1,25,1,0,0,4,10, Good marching letting onlookers know sponsor complicit forcible deportation refugees Deportations Refugees Welcome LGBT pic twitter com H KP f
Please help me make my amazing friends honeymoon extra special @British_Airways - she’s been through the worst time! RT’s welcome pic.twitter.com/nHiMPH7ODN,,,,Please help make amazing friends honeymoon extra special worst time RT welcome pic twitter com nHiMPH ODN,2,19,1,2,18,1,0,0,0,6, Please help make amazing friends honeymoon extra special worst time RT welcome pic twitter com Thimphu DON
"Yes, planes like to suntan too. The @British_Airways @airbus a380 soaking up some California rays. #avgeek https:// instagram.com/p/BmEEAhRnyfx/ pic.twitter.com/TRTzpWL70s",,,,Yes planes like suntan The soaking California rays avgeek https instagram com p BmEEAhRnyfx pic twitter com TRTzpWL,0,20,0,1,18,1,0,0,1,9, Yes planes like suntan The soaking California rays av geek HTTP Instagram com p  pic twitter com 
#Wifi mid air @British_Airways and my Dad is sending me five star geography lessons via #meme “You would have been over the sea after about 30mins and there is no more land till New York. The sea is called the Atlantic” #Dad #Geography #School pic.twitter.com/tV0xVkDiYC,,,,Wifi mid air Dad sending five star geography lessons via meme You would sea mins land till New York The sea called Atlantic Dad Geography School pic twitter com tV xVkDiYC,0,31,0,0,45,1,0,0,5,10, WiFi mid air Dad sending five star geography lessons via meme You would sea mind land till New York The sea called Atlantic Dad Geography School pic twitter com TV 
Happy Pride! But not to @British_Airways who forcibly deport LGBTQ migrants seeking safety. @PrideBrighton can you seriously hold a Pride sponsored by a company that deports queers to their death? pic.twitter.com/Gq5jBY05U0,,,,Happy Pride But forcibly deport LGBTQ migrants seeking safety seriously hold Pride sponsored company deports queers death pic twitter com Gq jBY U,1,25,0,2,29,1,0,0,0,6, Happy Pride But forcibly deport LGBT migrants seeking safety seriously hold Pride sponsored company deports queers death pic twitter com G j By U
The @British_Airways #A380 landing into @HeathrowAirport #avgeek pic.twitter.com/eGVpOgH55a,,,,The A landing avgeek pic twitter com eGVpOgH,0,9,0,0,8,1,0,0,2,5, The A landing av geek pic twitter com 
Hey @British_Airways ! This is not a good #Pride look. Shame on you. #refugeeswelcomehere #BrightonPride pic.twitter.com/BCCQUeDp6o,,,,Hey This good Pride look Shame refugeeswelcomehere BrightonPride pic twitter com BCCQUeDp,0,13,1,1,14,1,0,0,3,8, Hey This good Pride look Shame refugee Brighton Pride pic twitter com Becquerel
"Solidarity w/ @lgsmigrants as they occupy @British_Airways i360 in during #BrightonPride2018 . BA is a sponsor of #BrightonPride & complicit in the countless deportations of Black, PoC, Queer, Disabled MIGRANT LIVES! #NoPrideInDeporations #NoPrideInRainbowCareralCapitalism pic.twitter.com/l0rBhYd2L7",,,,Solidarity w occupy BrightonPride BA sponsor BrightonPride complicit countless deportations Black PoC Queer Disabled MIGRANT LIVES NoPrideInDeporations NoPrideInRainbowCareralCapitalism pic twitter com l rBhYd L,3,27,2,1,31,1,0,0,4,14, Solidarity w occupy Brighton Pride BA sponsor Brighton Pride complicit countless deportations Black Po Queer Disabled MIGRANT LIVES Deportations  pic twitter com l Hydra L
Lesbians and Gays Support the Migrants have occupied @British_Airways i360 in Brighton to protest their involvement in deportations! #NoPrideInDeportations #BrightonPride Read more about why they are taking this action: https://www. huffingtonpost.co.uk/entry/british- airways-lgbt-pride-criticism_uk_5b642f41e4b0de86f4a03ab7 … https:// twitter.com/lgsmigrants/st atus/1025702913719640064 …,,,,Lesbians Gays Support Migrants occupied Brighton protest involvement deportations NoPrideInDeportations BrightonPride Read taking action https www huffingtonpost co uk entry british airways lgbt pride criticism uk b f e b de f ab https twitter com lgsmigrants st atus,0,41,1,1,35,1,0,0,2,13, Lesbians Gays Support Migrants occupied Brighton protest involvement deportations Deportations Brighton Pride Read taking action HTTP WWW Huntington co UK entry British airways LGBT pride criticism UK b f e b DE f ab HTTP twitter com immigrants st taus
Bumped into @lgsmigrants on the beach. Activists have shut down @BA_i360 to protest deportation by @PrideBrighton sponsors @British_Airways . #NoPrideinDeportations pic.twitter.com/rTVQIYoSU0,,,,Bumped beach Activists shut protest deportation sponsors NoPrideinDeportations pic twitter com rTVQIYoSU,0,17,2,0,19,1,0,0,1,8, Bumped beach Activists shut protest deportation sponsors Deportations pic twitter com 
Don't let @British_Airways use #BrightonPride to pinkwash their image when they profit from deporting migrants - including LGBTQ migrants who should be marching with us on the parade NO ONE IS ILLEGAL. END DEPORTATIONS. Read more here: https:// lgsmigrants.wordpress.com / pic.twitter.com/iY1JgVCWJ4,,,,Don let use BrightonPride pinkwash image profit deporting migrants including LGBTQ migrants marching us parade NO ONE IS ILLEGAL END DEPORTATIONS Read https lgsmigrants wordpress com pic twitter com iY JgVCWJ,7,30,0,0,41,1,0,0,1,11, Don let use Brighton Pride pink wash image profit deporting migrants including LGBT migrants marching us parade NO ONE IS ILLEGAL END DEPORTATIONS Read HTTP immigrants word press com pic twitter com i 
"Back to this place tomorrow. Los Angeles. Flying the BA283, @British_Airways first flight of the day from @HeathrowAirport to @flylaxairport on the #A380 Wonder where will be warmer? London or LA? #flyba #basmart @Airbus @AirbusintheUK @AirbusInTheUS pic.twitter.com/fxq7uprwY5",,,,Back place tomorrow Los Angeles Flying BA first flight day A Wonder warmer London LA flyba basmart pic twitter com fxq uprwY,2,28,0,1,36,1,0,0,3,15, Back place tomorrow Los Angeles Flying BA first flight day A Wonder warmer London LA flyby smarts pic twitter com FAQ uproar
Sponsoring #BrightonPride is not compatible with supporting unjust deportations! We won’t stand by and let @British_Airways use their Pride sponsorship to polish their image while they are complicit in the Home Office’s cruel deportations,,,,Sponsoring BrightonPride compatible supporting unjust deportations We stand let use Pride sponsorship polish image complicit Home Office cruel deportations,0,20,3,3,28,1,0,0,1,5, Sponsoring Brighton Pride compatible supporting unjust deportations We stand let use Pride sponsorship polish image complicit Home Office cruel deportations
The time has come for @British_Airways to stop avoiding the issue and to end its complicity in brutal and racist deportations! pic.twitter.com/SO5xghGlFd,,,,The time come stop avoiding issue end complicity brutal racist deportations pic twitter com SO xghGlFd,1,16,3,0,19,1,0,0,0,3, The time come stop avoiding issue end complicity brutal racist deportations pic twitter com SO 
Our amazing pals @lgsmigrants have occupied @British_Airways i360 in Brighton to protest their involvement in deportations. #NoPrideInDeportations https:// twitter.com/lgsmigrants/st atus/1025702913719640064 …,,,,Our amazing pals occupied Brighton protest involvement deportations NoPrideInDeportations https twitter com lgsmigrants st atus,0,17,1,1,19,1,0,0,1,8, Our amazing pals occupied Brighton protest involvement deportations Deportations HTTP twitter com immigrants st taus
Lovely of @British_Airways to leave my guitars at Heathrow when we have a gig tonight @BelladrumFest Thanks for that you don’t do your job properly which means I can’t do mine properly...,,,,Lovely leave guitars Heathrow gig tonight Thanks job properly means I mine properly,0,15,0,2,30,1,0,0,0,5, Lovely leave guitars Heath row gig tonight Thanks job properly means I mine properly
. @British_Airways forcefully deporting LGBTQ+ asylum seekers whilst claiming to support queer ppl as sponsor of @PrideBrighton https://www. theguardian.com/world/2018/aug /02/ba-unfit-to-sponsor-pride-while-deporting-gay-asylum-seekers …,,,,forcefully deporting LGBTQ asylum seekers whilst claiming support queer ppl sponsor https www theguardian com world aug ba unfit sponsor pride deporting gay asylum seekers,1,28,1,1,19,1,0,0,0,8, forcefully deporting LGBT asylum seekers whilst claiming support queer pol sponsor HTTP WWW the guardian com world Aug BA unfit sponsor pride deporting gay asylum seekers
"Willie Walsh who is the head of @British_Airways said that his planes will still fly after #Brexit . Good to see a major British company fighting this #ProjectFear rubbish. British Airways 1, Project Fear 0 https:// twitter.com/Steven_Swinfor d/status/1025304563530838017 …",,,,Willie Walsh head said planes still fly Brexit Good see major British company fighting ProjectFear rubbish British Airways Project Fear https twitter com Steven Swinfor status,0,28,1,1,37,1,0,0,2,10, Willie Walsh head said planes still fly Brexit Good see major British company fighting Project Fear rubbish British Airways Project Fear HTTP twitter com Steven Misinform status
"Our @GB_Baseball U23 National Team will be wheels up to Vienna shortly, then a short ride to Bratislava for the @BaseballEurope Qualifier. Thanks @British_Airways for the ride today!",,,,Our U National Team wheels Vienna shortly short ride Bratislava Qualifier Thanks ride today,0,18,0,0,28,1,0,0,0,6, Our U National Team wheels Vienna shortly short ride Bratislava Qualifier Thanks ride today
WOW! These Pics are really fantastic! Thank you from the three of us in the cockpit @kenters55 and @yvrairport ! #A380 @British_Airways https:// twitter.com/kenters55/stat us/1025258823307616256 …,,,,WOW These Pics really fantastic Thank three us cockpit A https twitter com kenters stat us,1,18,0,1,25,1,0,0,1,11, WOW These Pics really fantastic Thank three us cockpit A HTTP twitter com enters stat us
Let’s see if @British_Airways who overbooked my connection to Glasgow can get me onboard so I can actually make it to the @Glasgow2018 European championship,,,,Let see overbooked connection Glasgow get onboard I actually make European championship,0,14,0,0,25,1,0,0,0,3, Let see overbooked connection Glasgow get onboard I actually make European championship
"Read the open letter we worked on demanding that @British_Airways ends its complicity with deportations, signed by @HackneyAbbott , @DavidLammy , @lloyd_rm , @travisalabanza and activists from @BARACUK , @AllOut , and @LGSMpride among many others! https://www. theguardian.com/world/2018/aug /02/ba-unfit-to-sponsor-pride-while-deporting-gay-asylum-seekers …",,,,Read open letter worked demanding ends complicity deportations signed activists among many others https www theguardian com world aug ba unfit sponsor pride deporting gay asylum seekers,0,37,0,1,39,1,0,0,0,19, Read open letter worked demanding ends complicity deportations signed activists among many others HTTP WWW the guardian com world Aug BA unfit sponsor pride deporting gay asylum seekers
I think most leavers recognise that 'no deal' means no withdrawal agreement followed by negotiation of bilateral agreements in crucial areas. It's mostly remainers who disingenuously assume it means no deals of any kind to show that 'no deal' means chaos.,,,,I think leavers recognise deal means withdrawal agreement followed negotiation bilateral agreements crucial areas It mostly remainers disingenuously assume means deals kind show deal means chaos,0,24,1,0,40,1,0,0,0,7, I think leavers recognize deal means withdrawal agreement followed negotiation bilateral agreements crucial areas It mostly remainders disingenuously assume means deals kind show deal means chaos
"LGBT rights campaigners, performers, businesses and MPs have condemned @British_Airways for cooperating with the removal of refused asylum seekers persecuted for their sexuality while sponsoring #BrightonPride . Bravo @AllOut @lgsmigrants @BARACUK ! https://www. theguardian.com/world/2018/aug /02/british-airways-criticised-by-lgbt-groups-over-asylum-removals …",,,,LGBT rights campaigners performers businesses MPs condemned cooperating removal refused asylum seekers persecuted sexuality sponsoring BrightonPride Bravo https www theguardian com world aug british airways criticised lgbt groups asylum removals,1,35,2,1,33,1,0,0,1,13, LGBT rights campaigners performers businesses PMs condemned cooperating removal refused asylum seekers persecuted sexuality sponsoring Brighton Pride Bravo HTTP WWW the guardian com world Aug British airways criticized LGBT groups asylum removals
On a @British_Airways flight from Italy flight with no announcements in any language other than English (including an urgent request not to eat peanuts due to a severe passanger allergy). I know English is a world language but this seems dangerous and disrespectful,,,,On flight Italy flight announcements language English including urgent request eat peanuts due severe passanger allergy I know English world language seems dangerous disrespectful,0,24,4,0,39,1,0,0,0,3, On flight Italy flight announcements language English including urgent request eat peanuts due severe passenger allergy I know English world language seems dangerous disrespectful
